epoch,binary_crossentropy,dice_coe,loss,val_binary_crossentropy,val_dice_coe,val_loss
0,0.8304072618484497,0.3241436779499054,-0.3241436779499054,0.24859145283699036,0.37322232127189636,-0.37322232127189636
1,0.16030023992061615,0.7433470487594604,-0.7433470487594604,0.2973458170890808,0.37263911962509155,-0.37263911962509155
2,0.12792156636714935,0.8556894063949585,-0.8556894063949585,0.18514104187488556,0.6101230382919312,-0.6101230382919312
3,0.13824477791786194,0.8770728707313538,-0.8770728707313538,0.1294918954372406,0.8257451057434082,-0.8257451057434082
4,0.1268676072359085,0.8900689482688904,-0.8900689482688904,0.12657645344734192,0.8560484647750854,-0.8560484647750854
5,0.12435267865657806,0.8946723341941833,-0.8946723341941833,0.09797542542219162,0.8915292620658875,-0.8915292620658875
6,0.12419948726892471,0.8973087668418884,-0.8973087668418884,0.1657218039035797,0.8770012855529785,-0.8770012855529785
7,0.13629719614982605,0.8896315097808838,-0.8896315097808838,0.22978639602661133,0.8565158843994141,-0.8565158843994141
8,0.10786125063896179,0.9050920605659485,-0.9050920605659485,0.13034746050834656,0.8987345695495605,-0.8987345695495605
9,0.1047535315155983,0.9101178050041199,-0.9101178050041199,0.12353871762752533,0.9018570184707642,-0.9018570184707642
10,0.10413893312215805,0.9138168692588806,-0.9138168692588806,0.11536860466003418,0.9063235521316528,-0.9063235521316528
11,0.10367687046527863,0.9162495732307434,-0.9162495732307434,0.1216578334569931,0.9074649810791016,-0.9074649810791016
12,0.10032585263252258,0.9185637831687927,-0.9185637831687927,0.11688981205224991,0.9093585014343262,-0.9093585014343262
13,0.10090132057666779,0.918901801109314,-0.918901801109314,0.120713010430336,0.9079840779304504,-0.9079840779304504
14,0.10053219646215439,0.9204081296920776,-0.9204081296920776,0.12154898792505264,0.9110881090164185,-0.9110881090164185
15,0.09850945323705673,0.9230363965034485,-0.9230363965034485,0.11706870794296265,0.9114083051681519,-0.9114083051681519
16,0.09617319703102112,0.9250730276107788,-0.9250730276107788,0.11446968466043472,0.9128552675247192,-0.9128552675247192
17,0.09315459430217743,0.9276885390281677,-0.9276885390281677,0.11194425821304321,0.9135843515396118,-0.9135843515396118
18,0.09374604374170303,0.9281490445137024,-0.9281490445137024,0.12644633650779724,0.9106389880180359,-0.9106389880180359
19,0.09144660830497742,0.9298970699310303,-0.9298970699310303,0.12630383670330048,0.9117185473442078,-0.9117185473442078
20,0.09214318543672562,0.9304746389389038,-0.9304746389389038,0.12099341303110123,0.9153518676757812,-0.9153518676757812
21,0.09654106199741364,0.9293820858001709,-0.9293820858001709,0.13547322154045105,0.9146820306777954,-0.9146820306777954
22,0.09936483949422836,0.927931010723114,-0.927931010723114,0.13205048441886902,0.9150495529174805,-0.9150495529174805
23,0.09265123307704926,0.9325942397117615,-0.9325942397117615,0.13439421355724335,0.9145644903182983,-0.9145644903182983
24,0.09172113984823227,0.9334477186203003,-0.9334477186203003,0.12182895094156265,0.9177519679069519,-0.9177519679069519
25,0.09150777012109756,0.9345110058784485,-0.9345110058784485,0.1270867884159088,0.9176390767097473,-0.9176390767097473
26,0.08924256265163422,0.9358919858932495,-0.9358919858932495,0.13169297575950623,0.9164146184921265,-0.9164146184921265
27,0.08840026706457138,0.9376195073127747,-0.9376195073127747,0.12474389374256134,0.9195023775100708,-0.9195023775100708
28,0.08839862793684006,0.9380202889442444,-0.9380202889442444,0.13173875212669373,0.9192735552787781,-0.9192735552787781
29,0.08708042651414871,0.9388474822044373,-0.9388474822044373,0.13118210434913635,0.9198697209358215,-0.9198697209358215
